Symbol,Date,Close,High,Low,Open,Volume
GOOGL,2012-11-27,335.6749,337.827,329.3188,330.4198,2509598
GOOGL,2012-11-28,342.1812,342.7818,332.2716,334.5238,3041940
GOOGL,2012-11-29,346.2852,347.2862,341.3304,344.2332,2780543
GOOGL,2012-11-30,349.5384,349.9387,343.1822,345.9849,3164441
GOOGL,2012-12-03,347.9368,353.292,347.3863,351.4402,2193948
GOOGL,2012-12-04,345.8348,348.0869,343.1822,347.8367,1991604
GOOGL,2012-12-05,344.2332,347.5865,341.4806,346.4353,1862735
GOOGL,2012-12-06,345.8848,348.137,342.5816,344.1331,1462215
GOOGL,2012-12-07,342.4315,348.7876,341.5306,347.8367,1919476
GOOGL,2012-12-10,343.0321,346.1851,342.2313,343.0321,1366865
GOOGL,2012-12-11,348.7876,351.29,344.1832,345.3343,2687955
GOOGL,2012-12-12,349.0879,352.0908,347.086,349.9387,2426299
GOOGL,2012-12-13,351.6904,358.5971,350.1389,358.2968,3446306
GOOGL,2012-12-14,351.3401,354.2429,349.5384,349.9387,2130595
GOOGL,2012-12-17,360.7492,369.5077,352.3411,352.9917,3036763
